,0
0,0.621749256144
1,0.44310876745
2,0.400983941256
3,0.399075703835
4,0.398992362928
5,0.391102076987
6,0.390919460814
7,0.39027266997
8,0.390256882944
9,0.390077123637
10,0.389567212501
11,0.389208359904
12,0.387264034774
13,0.382316134503
14,0.38006713518
15,0.379629868018
16,0.378825124268
17,0.378778640801
18,0.377041761611
19,0.376783623152
20,0.376500174151
21,0.368322521134
22,0.367280166435
23,0.363835611264
24,0.36222940738
25,0.362229111736
26,0.357705846
27,0.357634732181
28,0.357633074967
29,0.35691064889
30,0.354370222566
31,0.353971176222
32,0.345524196495
33,0.342559484108
34,0.336023812671
35,0.3351215513
36,0.334920797793
37,0.334768104269
38,0.331297411209
39,0.33120932932
40,0.3295747629
41,0.328826178105
42,0.327047364915
43,0.313973435393
44,0.313850917528
45,0.313643943327
46,0.313635594454
47,0.313635519782
48,0.313569108785
49,0.312782251473
50,0.310293517315
51,0.301673982192
52,0.300276100357
53,0.298435855384
54,0.298375852414
55,0.298344989876
56,0.298322580894
57,0.297161798063
58,0.297108223704
59,0.29707433679
60,0.296172809925
61,0.29616094862
62,0.296017297399
63,0.295526831944
64,0.295518677287
65,0.295511092094
66,0.294797273585
67,0.294660785645
68,0.294659283235
69,0.293279502115
70,0.291788506574
71,0.291781030894
72,0.291738728228
73,0.291649831163
74,0.291348055262
75,0.288829615443
76,0.288786241029
77,0.288727963069
78,0.288727962423
79,0.288527594525
80,0.28735651747
81,0.28735592382
82,0.287340800354
83,0.284317914101
84,0.282444040755
85,0.280857044593
86,0.280712154286
87,0.280184949868
88,0.280075865071
89,0.280069129886
90,0.279294669638
91,0.279059316166
92,0.278518590734
93,0.278412721685
94,0.276550043896
95,0.276054509065
96,0.276034392168
97,0.275833434301
98,0.275704842528
99,0.275693576565
100,0.275046563532
101,0.275042501805
102,0.274717387433
103,0.274245913674
104,0.270521286278
105,0.268079702811
106,0.266208794485
107,0.260262644106
108,0.259471015118
109,0.259382786306
110,0.257451508984
111,0.257390961121
112,0.255783462496
113,0.248498440426
114,0.248463826051
115,0.247207709023
116,0.246874427811
117,0.246805390227
118,0.246071485837
119,0.245986067328
120,0.245168722695
121,0.245042387693
122,0.24452673173
123,0.242066495346
124,0.241616601657
125,0.241600163682
126,0.241066246795
127,0.241052434365
128,0.240964605096
129,0.2404978667
130,0.240497811875
131,0.24046561667
132,0.240318957215
133,0.239672010296
134,0.239605494999
135,0.239014192249
136,0.238920900875
137,0.238835596697
138,0.238574038846
