,0
516,506.0
517,474.0
518,429.0
519,392.0
520,198.0
521,211.0
522,77.0
523,56.0
524,30.0
525,34.0
526,18.0
527,21.0
528,30.0
529,25.0
530,24.0
531,24.0
532,33.0
533,51.0
534,50.0
535,38.0
536,38.0
537,40.0
538,32.0
539,29.0
540,39.0
541,23.0
542,28.0
543,26.0
544,35.0
545,34.0
546,26.0
547,25.0
548,27.0
549,34.0
550,35.0
551,21.0
552,32.0
553,28.0
554,28.0
555,24.0
556,16.0
557,27.0
558,21.0
559,21.0
560,23.0
561,24.0
562,25.0
563,23.0
564,23.0
565,22.0
566,35.0
567,21.0
568,40.0
569,40.0
570,34.0
571,38.0
572,29.0
573,33.0
574,53.0
575,57.0
576,46.0
577,45.0
578,50.0
579,38.0
580,38.0
581,47.0
582,47.0
583,52.0
584,60.0
585,45.0
586,37.0
587,44.0
588,47.0
589,28.0
590,35.0
591,29.0
592,43.0
593,34.0
594,31.0
595,46.0
596,39.0
597,59.0
598,46.0
599,31.0
600,44.0
601,32.0
602,39.0
603,43.0
604,35.0
605,38.0
606,43.0
607,35.0
608,41.0
609,43.0
610,58.0
611,47.0
612,47.0
613,40.0
614,37.0
615,57.0
616,77.0
617,62.0
618,53.0
619,69.0
620,82.0
621,76.0
622,79.0
623,115.0
624,84.0
625,94.0
626,97.0
627,95.0
628,61.0
629,88.0
630,81.0
631,73.0
632,77.0
633,71.0
634,87.0
635,81.0
636,72.0
637,120.0
638,90.0
639,87.0
640,68.0
641,97.0
642,60.0
643,128.0
644,117.0
645,99.0
646,70.0
647,68.0
648,130.0
649,117.0
650,147.0
651,154.0
652,76.0
653,110.0
654,123.0
655,57.0
656,57.0
657,53.0
658,75.0
659,67.0
660,68.0
661,53.0
662,59.0
663,62.0
664,69.0
665,68.0
666,98.0
667,63.0
668,103.0
669,88.0
670,53.0
671,66.0
672,62.0
673,59.0
674,60.0
675,61.0
676,46.0
677,59.0
678,70.0
679,59.0
680,37.0
681,76.0
682,60.0
683,77.0
684,62.0
